Games played: 24700, Wins: 39, Losses: 50, Draws: 11, Win rate: 43.82022%, Epsilon: 0.2908
Games played: 24800, Wins: 45, Losses: 54, Draws: 1, Win rate: 45.45455%, Epsilon: 0.2893
Games played: 24900, Wins: 42, Losses: 52, Draws: 6, Win rate: 44.68085%, Epsilon: 0.2879
Games played: 25000, Wins: 47, Losses: 42, Draws: 11, Win rate: 52.80899%, Epsilon: 0.2864
Games played: 25100, Wins: 42, Losses: 49, Draws: 9, Win rate: 46.15385%, Epsilon: 0.2850
Games played: 25200, Wins: 34, Losses: 58, Draws: 8, Win rate: 36.95652%, Epsilon: 0.2836
Games played: 25300, Wins: 37, Losses: 50, Draws: 13, Win rate: 42.52874%, Epsilon: 0.2822
Games played: 25400, Wins: 40, Losses: 49, Draws: 11, Win rate: 44.94382%, Epsilon: 0.2808
Games played: 25500, Wins: 36, Losses: 52, Draws: 12, Win rate: 40.90909%, Epsilon: 0.2794
Games played: 25600, Wins: 37, Losses: 51, Draws: 12, Win rate: 42.04545%, Epsilon: 0.2780
Games played: 25700, Wins: 31, Losses: 57, Draws: 12, Win rate: 35.22727%, Epsilon: 0.2766
Games played: 25800, Wins: 46, Losses: 51, Draws: 3, Win rate: 47.42268%, Epsilon: 0.2752
Games played: 25900, Wins: 49, Losses: 45, Draws: 6, Win rate: 52.12766%, Epsilon: 0.2738
Games played: 26000, Wins: 34, Losses: 59, Draws: 7, Win rate: 36.55914%, Epsilon: 0.2725
Games played: 26100, Wins: 31, Losses: 58, Draws: 11, Win rate: 34.83146%, Epsilon: 0.2711
Games played: 26200, Wins: 42, Losses: 52, Draws: 6, Win rate: 44.68085%, Epsilon: 0.2698
Games played: 26300, Wins: 34, Losses: 58, Draws: 8, Win rate: 36.95652%, Epsilon: 0.2684
Games played: 26400, Wins: 40, Losses: 48, Draws: 12, Win rate: 45.45455%, Epsilon: 0.2671
